indice,valores_ap,cd_ap,diagCD,descrip,similitud,diagCD2,descrip2,similitud2,,
3446,ulcera bucal,D20,D83,ULCERA BUCAL                                                ,0.9999999403953552,D94,COLITIS ULCEROSA                                            ,0.6944616436958313,,
3447,prediabetes,T90,B85,PREDIABETES                                                 ,0.9999999403953552,T90,DIABETES MELLITUS                                           ,0.6959167718887329,,
3452,ulcera bucal lengua carcinoma escamoso,D20,D77,CANCER DE LA BOCA                                           ,0.5519152879714966,D83,ULCERA BUCAL                                                ,0.5148255228996277,,
3456,ulcera decubito humedad gluteo izdo,S97,S97,ULCERA POR DECUBITO                                         ,0.5890174508094788,S97,ulcera por decubito,0.5890174508094788,,
3457,dispepsia funcional tipo ulceroso,D87,D07,DISPEPSIA FUNCIONAL TIPO ULCEROSO                           ,0.9999999403953552,D07,DISPEPSIA FUNCIONAL TIPO DISMOTILIDAD                       ,0.5586386322975159,,
3458,ulcera vascular mixta eid,S97,S97,ULCERA VASCULAR MIXTA                                       ,0.8481220006942749,S97,ULCERA VACULAR ARTERIAL                                     ,0.5882568955421448,,
3459,ulcera presion sacro,S97,S97,ulcera por decubito,0.6163478493690491,S97,ULCERA POR DECUBITO                                         ,0.6163477301597595,,
3467,ulcera vascular mixta,S97,S97,ULCERA VASCULAR MIXTA                                       ,1.000000238418579,S97,ULCERA VACULAR ARTERIAL                                     ,0.6169595122337341,,
3468,ulcera sacro,S97,S97,ULCERA POR DECUBITO                                         ,0.6503124833106995,S97,ulcera por decubito,0.6503124833106995,,
3471,verruga seborreica,S99,S99,VERRUGA SEBORREICA                                          ,1.0,S99,verrugas seborreicas,0.9827970862388612,,
3472,prurigo,S99,S99,PRURIGO                                                     ,0.9999998807907104,S02,PRURITO                                                     ,0.9454846382141112,,
3475,eritema nodoso,S99,S99,eritema nodoso,1.0000001192092896,S99,ERITEMA NODOSO                                              ,1.0,,
3476,queratosis seborreica,S99,S99,QUERATOSIS SEBORREICA                                       ,0.9999999403953552,S80,queratosis senil,0.7625792026519775,,
3477,pitiriasis,S74,S99,PITIRIASIS ALBA                                             ,0.885321855545044,S99,pitiriasis alba,0.885321855545044,,
3479,queratoconjuntivitis dcho papilar aguda,F73,F73,QUERATOCONJUNTIVITIS                                        ,0.8001478910446167,F73,QUERATITIS                                                  ,0.6958464980125427,,
3480,eritema nodoso ambos as,S99,S99,ERITEMA NODOSO                                              ,0.8994219303131104,S99,eritema nodoso,0.8994219303131104,,
