indice|level|info|code
1|AP|dolor torax no especificado|A11
1|fallo|No tenemos ciap| 161972006
2|AP|dolor costal no especificado|A11
2|fallo|No tenemos ciap|297217002 
3|AP|sangrado no especificado|A10
3||Codigo ciap mas apropiado | H05
3|Differ GT|Recomienda LLM sangrado del oído simil 73 AP: H05|26322001
3||Codigo ciap mas apropiado | D16
3|Differ GT|Recomienda LLM2  sangrado del oído simil 64 AP: D16|12063002
4|AP|dolor toracico no especificado palpitaciones|A11
4|fallo|No tenemos ciap|161972006 
5|AP|accidente no especificado|A80
5|fallo|No tenemos ciap|55566008 
6|AP|no acude consulta medica|A97
6|fallo|No tenemos ciap|719407002 
7|AP|no acude consulta|A97
7|fallo|No tenemos ciap|719407002 
8|AP|anotacion equivocada no paciente|A03
8|fallo|No tenemos ciap|272676008 
9|AP|adenopatia no significativa|B02
9|correcto|correcto AP B02 llm 30746006 |
10|AP|eccema no especificado eczema marginado hebra|S88
10||Codigo ciap mas apropiado | S87
10||Codigo ciap mas apropiado | S92
10|Differ GT|Recomienda LLM eccema no alérgico simil 84 AP: S87|5391000119108
10|Differ GT|Recomienda LLM eccema no alérgico simil 84 AP: S92|5391000119108
10||Codigo ciap mas apropiado | S74
10|Igual GT|Recomienda LLM2 eccema no alérgico simil 82 AP: S74|399029005
11|AP|anemia no filiada|B82
11|correcto|correcto AP B82 llm 271737000 |
12|AP|titulos bajos sin evidencia enf autoinmune m interna|A04
12||Codigo ciap mas apropiado | H82
12|Differ GT|Recomienda LLM trastorno autoinmunitario del oído interno simil 72 AP: H82|232308006
12||Codigo ciap mas apropiado | L99
12|Differ GT|Recomienda LLM2  trastorno autoinmunitario del oído interno simil 68 AP: L99|362992004
13|AP|diarrea cronica no filiada|D11
13|correcto|correcto AP D11 llm 236071009 |
14|AP|cordon umbilical no curado|S29
14|fallo|No tenemos ciap|29870000 
15|AP|hepatitis aguda origen no filiado hepatitis vhe|D97
15||Codigo ciap mas apropiado | R74
15||Codigo ciap mas apropiado | D88
15||Codigo ciap mas apropiado | D72
15||Codigo ciap mas apropiado | R78
15||Codigo ciap mas apropiado | N70
15||Codigo ciap mas apropiado | L87
15||Codigo ciap mas apropiado | S76
15||Codigo ciap mas apropiado | L70
15||Codigo ciap mas apropiado | R75
15||Codigo ciap mas apropiado | U70
15||Codigo ciap mas apropiado | K70
15|Differ GT|Recomienda LLM hepatitis aguda simil 89 AP: R74|37871000
15|Differ GT|Recomienda LLM hepatitis aguda simil 89 AP: D88|37871000
15|Igual GT|Recomienda LLM hepatitis aguda simil 89 AP: D72|37871000
15|Differ GT|Recomienda LLM hepatitis aguda simil 89 AP: R78|37871000
15|Differ GT|Recomienda LLM hepatitis aguda simil 89 AP: N70|37871000
15|Differ GT|Recomienda LLM hepatitis aguda simil 89 AP: L87|37871000
15|Differ GT|Recomienda LLM hepatitis aguda simil 89 AP: S76|37871000
15|Differ GT|Recomienda LLM hepatitis aguda simil 89 AP: L70|37871000
15|Differ GT|Recomienda LLM hepatitis aguda simil 89 AP: R75|37871000
15|Differ GT|Recomienda LLM hepatitis aguda simil 89 AP: U70|37871000
15|Differ GT|Recomienda LLM hepatitis aguda simil 89 AP: K70|37871000
15||Codigo ciap mas apropiado | D72
15|Igual GT|Recomienda LLM2 hepatitis aguda simil 87 AP: D72|57412004
16|AP|discopatia lumbar l4 l5 no compromiso radicular|L86
